RB	En
402.en	The central nave is twice as wide as the side aisles.
403.en	The common cold is a viral infection of the upper respiratory tract.
404.en	Isaac Newton contended that light is made up of numerous small particles.
405.en	Many cultures throughout history have viewed obesity as the result of a character flaw.
406.en	His mother Rivka Gina Daum hailed from a prosperous trader family in Sopron, Hungary.
407.en	His successor, Ratchis, declared the duchies of Spoleto and Benevento foreign countries where it was forbidden to travel without royal permission.
408.en	Typically, people infected with dengue virus are asymptomatic (80%) or have only mild symptoms such as an uncomplicated fever.
409.en	We want peace for ourselves and for all peoples of the planet.
410.en	Copenhagen, the capital of Denmark, is located partly on the eastern shore of Zealand and partly on the island of Amager.
411.en	MusicBrainz captures information about artists, their recorded works, and the relationships between them.
412.en	Similar findings have been made in other types of heart disease.
413.en	This contradiction cannot be resolved by classical physics.
414.en	The symptoms of the common cold are believed to be primarily related to the immune response to the virus.
415.en	It was developed by the European Commission together with the Member States of the European Union to speed up cross-border administrative cooperation.
416.en	A link to these conditions can be found for each dataset.
417.en	Another test, urine microscopy, looks for the presence of red blood cells, white blood cells, or bacteria.
418.en	It often takes a few weeks before most symptoms resolve.
419.en	Specific medications for asthma are broadly classified into fast-acting and long-acting categories.
420.en	The Battle of the Milvian Bridge shows the battle that took place on 28 October 312 between the Roman Emperors Constantine I and Maxentius.
421.en	While the throat always contains bacteria, potentially infectious ones reside there only at certain times and under certain conditions.
422.en	Other factors that play an important role include social isolation and immigration related to social adversity, racial discrimination, family dysfunction, unemployment, and poor housing conditions.
423.en	The European Commission is responsible for maintenance and development of the tool, helpdesk services and training.
424.en	When placed over a flame, lithium compounds give off a striking crimson color, but when it burns strongly the flame becomes a brilliant silver.
425.en	Tuberculosis may become a chronic illness and cause extensive scarring in the upper lobes of the lungs.
426.en	In addition, a cough is frequently absent in children less than 2 months old.
427.en	All designs feature the 12 stars of the EU and the year of imprint.
428.en	Pneumonia believed to be due to bacteria is treated with antibiotics.
429.en	Otis Elevator Company, is the world's largest manufacturer of vertical transportation systems today, principally elevators and escalators.
430.en	In 40% of men and 23% of women diagnosed with schizophrenia, the condition manifested itself before the age of 19.
431.en	Nelson Mandela is released from prison after serving 27 years.
432.en	Secondary syphilis occurs approximately four to ten weeks after the primary infection.
433.en	Around 2,733 km2 of the delta are strictly protected areas.
